Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,T,P,WS
2014-02-12,0,2,2,0,0,0,3,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,9,0,0,31.0,0.0,14.0
2014-02-13,1,0,1,0,0,1,6,0,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,11,0,1,31.0,0.0,14.0
2014-02-14,1,0,0,0,0,3,5,0,0,1,0,1,0,1,0,0,2,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,1,0,0,0,0,1,1,8,0,0,31.0,0.0,14.0
2014-02-15,1,2,0,0,4,2,7,0,1,0,0,0,0,2,0,1,0,2,3,0,1,0,0,0,0,0,0,1,3,0,1,1,4,2,0,0,0,2,0,0,0,2,0,0,0,0,1,5,0,0,31.0,0.0,14.0
2014-02-16,4,0,0,0,3,1,4,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,1,2,1,0,0,0,0,0,0,0,2,0,2,0,8,0,3,31.0,0.0,14.0
2014-02-17,4,0,0,0,0,1,5,0,1,0,0,2,0,2,1,0,0,0,1,0,0,1,1,0,2,0,0,1,1,2,4,0,0,1,1,0,0,2,1,0,1,0,0,0,1,2,0,10,0,0,31.0,0.0,14.0
2014-02-18,3,0,0,0,0,1,5,0,0,2,1,1,0,2,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,31.0,0.0,14.0
2014-02-19,2,0,0,0,0,0,4,0,0,1,1,3,0,2,0,1,1,0,1,1,0,1,0,0,0,0,0,2,0,1,2,0,0,1,0,1,0,0,0,0,1,2,0,0,0,0,2,8,0,0,31.0,0.0,14.0
2014-02-20,1,1,0,1,0,3,4,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,2,2,0,0,1,1,1,0,0,1,0,0,0,0,2,2,0,0,2,0,0,1,0,0,6,0,1,31.0,0.0,14.0
2014-02-21,1,0,0,0,0,0,5,0,2,0,1,0,0,1,0,0,1,0,2,1,0,0,0,0,2,0,0,0,1,1,3,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,10,0,0,31.0,0.0,14.0
2014-02-22,6,2,2,1,2,1,5,0,4,1,0,0,0,2,1,1,0,1,3,0,1,1,0,1,0,8,0,0,1,3,0,1,1,2,0,0,0,0,2,19,1,1,0,0,0,1,3,4,0,2,31.0,0.0,14.0
2014-02-23,0,0,1,0,0,1,6,3,1,0,0,0,0,1,1,0,0,3,1,0,0,0,1,0,0,0,1,3,5,3,0,1,1,3,0,0,0,2,1,1,0,1,0,2,0,1,0,4,0,2,31.0,0.0,14.0
